Product_ID,Barcode_EAN13,Product_Name,Category,Brand,Price_INR,Quantity,Stock_Quantity,Manufacturer,Supplier,Expiry_Date,Manufacture_Date,MRP
1,8991389874752,Rusks - Hennessy 1L,Soft Drinks,Bisleri,259,2L,159,Mfg_0,Supplier_H,2025-06-01,2024-01-01,310
2,9780201379624,Noodles - Sprite 2kg,Hair Care,Mondelēz,683,400g,168,Mfg_1,Supplier_C,2025-06-02,2024-01-02,819
3,8900000000003,Spreads - Kingfisher 200ml,Breakfast Drinks,Dettol,447,200ml,161,Mfg_2,Supplier_A,2025-06-03,2024-01-03,536
4,8900000000004,Milk - Budweiser 137g,Tea & Coffee,Lipton,2175,650ml,42,Mfg_3,Supplier_H,2025-06-04,2024-01-04,2610
5,8900000000005,Cereal - Lay's 650ml,Cereals & Grains,Dabur,780,600g,189,Mfg_4,Supplier_C,2025-06-05,2024-01-05,936
6,8900000000006,Dal - Fanta 137g,Instant Noodles,Horlicks,277,50ml,101,Mfg_5,Supplier_B,2025-06-06,2024-01-06,332
7,8900000000007,Rice - Budweiser 250ml,Beauty & Cosmetics,Amul,1994,600g,159,Mfg_6,Supplier_A,2025-06-07,2024-01-07,2392
8,8900000000008,Vodka - Horlicks 200g,Frozen Foods,Cadbury,1087,250g,187,Mfg_7,Supplier_C,2025-06-08,2024-01-08,1304
9,8900000000009,Soap - Lakme 250ml,Disinfectants,Lay's,245,40g,37,Mfg_8,Supplier_B,2025-06-09,2024-01-09,294
10,8900000000010,Shampoo - Bagpiper 5L,Skin Care,Dettol,398,5kg,90,Mfg_9,Supplier_B,2025-06-10,2024-01-10,477
11,8900000000011,Energy Drink - Bombay 2L,Instant Noodles,Absolut,772,500g,70,Mfg_10,Supplier_F,2025-06-11,2024-01-11,926
12,8900000000012,Salt - Unilever 500g,Tea & Coffee,Britannia,1858,400g,14,Mfg_11,Supplier_A,2025-06-12,2024-01-12,2229
13,8900000000013,Chips - Sprite 50ml,Biscuits & Cookies,Nestlé,2458,650ml,9,Mfg_12,Supplier_B,2025-06-13,2024-01-13,2949
14,8900000000014,Rusks - Bisleri 400g,Bread & Bakery,Hennessy,633,1kg,127,Mfg_13,Supplier_F,2025-06-14,2024-01-14,759
15,8900000000015,Water - Maggi 25 Bags,Disinfectants,Parle,1262,200g,78,Mfg_14,Supplier_C,2025-06-15,2024-01-15,1514
16,8900000000016,Tea - Diageo 137g,Frozen Foods,Horlicks,587,70g,101,Mfg_15,Supplier_D,2025-06-16,2024-01-16,704
17,8900000000017,Rice - Pepsi 1L,Alcoholic Beverages,Coca-Cola,2132,200ml,122,Mfg_16,Supplier_A,2025-06-17,2024-01-17,2558
18,8900000000018,Chips - Colgate 1L,Frozen Foods,Colgate,444,400g,42,Mfg_17,Supplier_H,2025-06-18,2024-01-18,532
19,8900000000019,Candy - Maggi 5L,Cereals & Grains,ITC,2160,1L,145,Mfg_18,Supplier_G,2025-06-19,2024-01-19,2592
20,8900000000020,Cereal - Lay's 400g,Ghee & Oils,Fanta,773,1kg,163,Mfg_19,Supplier_G,2025-06-20,2024-01-20,927
21,8900000000021,Rice - Himalaya 150g,Instant Noodles,Dabur,1339,150g,51,Mfg_20,Supplier_C,2025-06-21,2024-01-21,1606
22,8900000000022,Ice Cream - Tata 150g,Chocolates & Candy,Amul,2155,5L,113,Mfg_21,Supplier_J,2025-06-22,2024-01-22,2586
23,8900000000023,Whisky - Bisleri 4 pack,Tea & Coffee,Bagpiper,1368,650ml,184,Mfg_22,Supplier_J,2025-06-23,2024-01-23,1641
24,8900000000024,Chocolate - Lipton 400g,Soft Drinks,Tata,2492,1kg,188,Mfg_23,Supplier_C,2025-06-24,2024-01-24,2990
25,8900000000025,Ghee - Garnier 2L,Ghee & Oils,Saffola,456,40g,19,Mfg_24,Supplier_B,2025-06-25,2024-01-25,547
26,8900000000026,Salt - Colgate 750ml,Soft Drinks,Himalaya,2027,10oz,161,Mfg_25,Supplier_A,2025-06-26,2024-01-26,2432
27,8900000000027,Toothpaste - Lay's 137g,Beauty & Cosmetics,Garnier,1341,200g,140,Mfg_26,Supplier_G,2025-06-27,2024-01-27,1609
28,8900000000028,Spices - Bisleri 1L,Biscuits & Cookies,Coca-Cola,258,1L,9,Mfg_27,Supplier_G,2025-06-28,2024-01-28,309
29,8900000000029,Juice - Diageo 10oz,Juices & Drinks,Ferrero,175,200ml,161,Mfg_28,Supplier_B,2025-06-29,2024-01-29,210
30,8900000000030,Malt - Hennessy 1L,Meat Alternatives,Absolut,1368,5kg,51,Mfg_29,Supplier_G,2025-06-30,2024-01-30,1641
31,8900000000031,Wheat Atta - Bagpiper 2kg,Bread & Bakery,Lipton,1029,4 pack,72,Mfg_30,Supplier_H,2025-07-01,2024-01-31,1234
32,8900000000032,Tea - Budweiser 100g,Ghee & Oils,Diageo,551,40g,80,Mfg_31,Supplier_A,2025-07-02,2024-02-01,661
33,8900000000033,Noodles - Budweiser 200ml,Snacks,Coca-Cola,768,500ml,177,Mfg_32,Supplier_I,2025-07-03,2024-02-02,921
34,8900000000034,Honey - Colgate 250g,Ice Cream,Ferrero,2138,250ml,134,Mfg_33,Supplier_G,2025-07-04,2024-02-03,2565
35,8900000000035,Candy - Lakme 500g,Laundry & Cleaning,Unilever,2190,500g,159,Mfg_34,Supplier_C,2025-07-05,2024-02-04,2628
36,8900000000036,Ice Cream - Ferrero 4 pack,Cereals & Grains,Cadbury,806,1kg,99,Mfg_35,Supplier_H,2025-07-06,2024-02-05,967
37,8900000000037,Malt - Bombay 2kg,Cereals & Grains,Bombay,147,4 pack,119,Mfg_36,Supplier_G,2025-07-07,2024-02-06,176
38,8900000000038,Tea - Colgate 250ml,Alcoholic Beverages,Pepsi,2241,150g,168,Mfg_37,Supplier_H,2025-07-08,2024-02-07,2689
39,8900000000039,Chocolate - Lakme 2L,Soap & Bath,Bombay,1363,400g,40,Mfg_38,Supplier_F,2025-07-09,2024-02-08,1635
40,8900000000040,Toothpaste - Budweiser 500g,Instant Noodles,Colgate,1885,40g,30,Mfg_39,Supplier_I,2025-07-10,2024-02-09,2262
41,8900000000041,Candy - Lay's 150g,Snacks,Ferrero,78,70g,47,Mfg_0,Supplier_E,2025-07-11,2024-02-10,93
42,8900000000042,Energy Drink - Patanjali 100g,Laundry & Cleaning,ITC,2110,100g,31,Mfg_1,Supplier_C,2025-07-12,2024-02-11,2532
43,8900000000043,Candy - Parle 1L,Cereals & Grains,Unilever,1483,70g,73,Mfg_2,Supplier_C,2025-07-13,2024-02-12,1779
44,8900000000044,Ghee - Unilever 100g,Cereals & Grains,Cadbury,214,5L,152,Mfg_3,Supplier_A,2025-07-14,2024-02-13,256
45,8900000000045,Cookies - Diageo 600g,Dairy & Butter,Bombay,2183,250ml,15,Mfg_4,Supplier_H,2025-07-15,2024-02-14,2619
46,8900000000046,Ghee - Ferrero 50ml,Disinfectants,Bagpiper,52,1L,78,Mfg_5,Supplier_B,2025-07-16,2024-02-15,62
47,8900000000047,Salt - Everest 4 pack,Soap & Bath,Lakme,1916,100g,108,Mfg_6,Supplier_C,2025-07-17,2024-02-16,2299
48,8900000000048,Ice Cream - Cadbury 40g,Snacks,Horlicks,2168,4 pack,42,Mfg_7,Supplier_H,2025-07-18,2024-02-17,2601
49,8900000000049,Rum - Ferrero 5L,Chocolates & Candy,Himalaya,770,750ml,138,Mfg_8,Supplier_H,2025-07-19,2024-02-18,924
50,8900000000050,Rum - Tata 500g,Snacks,Dove,2152,1kg,27,Mfg_9,Supplier_D,2025-07-20,2024-02-19,2582
51,8900000000051,Toothpaste - Ferrero 500ml,Jams & Spreads,Sprite,2004,500g,51,Mfg_10,Supplier_D,2025-07-21,2024-02-20,2404
52,8900000000052,Salt - Hennessy 400g,Biscuits & Cookies,Godrej,1945,200ml,94,Mfg_11,Supplier_E,2025-07-22,2024-02-21,2334
53,8900000000053,Oil - Dove 2kg,Alcoholic Beverages,Sprite,909,400g,50,Mfg_12,Supplier_F,2025-07-23,2024-02-22,1090
54,8900000000054,Shampoo - Bombay 200g,Ice Cream,Haldiram,369,500ml,111,Mfg_13,Supplier_E,2025-07-24,2024-02-23,442
55,8900000000055,Ice Cream - Himalaya 250ml,Laundry & Cleaning,Parle,1729,200ml,144,Mfg_14,Supplier_G,2025-07-25,2024-02-24,2074
56,8900000000056,Detergent - Rémy Martin 200ml,Beauty & Cosmetics,Saffola,290,250g,145,Mfg_15,Supplier_B,2025-07-26,2024-02-25,348
57,8900000000057,Beer - Bagpiper 2kg,Juices & Drinks,Patanjali,1897,100g,108,Mfg_16,Supplier_G,2025-07-27,2024-02-26,2276
58,8900000000058,Gin - ITC 10oz,Frozen Foods,Coca-Cola,676,1kg,194,Mfg_17,Supplier_J,2025-07-28,2024-02-27,811
59,8900000000059,Energy Drink - Cadbury 50ml,Dairy & Butter,Pepsi,102,25 Bags,115,Mfg_18,Supplier_G,2025-07-29,2024-02-28,122
60,8900000000060,Dal - Ferrero 1kg,Frozen Foods,Bisleri,681,650ml,108,Mfg_19,Supplier_A,2025-07-30,2024-02-29,817
61,8900000000061,Noodles - Absolut 50ml,Disinfectants,Maggi,1979,100ml,64,Mfg_20,Supplier_G,2025-07-31,2024-03-01,2374
62,8900000000062,Oats - Lakme 40g,Frozen Foods,Everest,70,500g,175,Mfg_21,Supplier_E,2025-08-01,2024-03-02,84
63,8900000000063,Ice Cream - Budweiser 1L,Biscuits & Cookies,Garnier,1038,600g,104,Mfg_22,Supplier_C,2025-08-02,2024-03-03,1245
64,8900000000064,Rum - Dove 650ml,Alcoholic Beverages,ITC,1499,100ml,72,Mfg_23,Supplier_C,2025-08-03,2024-03-04,1798
65,8900000000065,Malt - Mondelēz 2kg,Personal Care,Unilever,613,250ml,137,Mfg_24,Supplier_D,2025-08-04,2024-03-05,735
66,8900000000066,Rice - Unilever 5L,Breakfast Drinks,Godrej,691,200g,124,Mfg_25,Supplier_B,2025-08-05,2024-03-06,829
67,8900000000067,Oats - Dabur 5L,Tea & Coffee,Kingfisher,1438,500ml,41,Mfg_26,Supplier_B,2025-08-06,2024-03-07,1725
68,8900000000068,Rice - Britannia 150g,Frozen Foods,Haldiram,2290,5kg,76,Mfg_27,Supplier_A,2025-08-07,2024-03-08,2748
69,8900000000069,Toothpaste - Parle 100g,Hair Care,Mondelēz,533,200g,131,Mfg_28,Supplier_E,2025-08-08,2024-03-09,639
70,8900000000070,Wheat Atta - Coca-Cola 200g,Ice Cream,Lipton,2403,70g,110,Mfg_29,Supplier_D,2025-08-09,2024-03-10,2883
71,8900000000071,Cola - Dove 1kg,Chocolates & Candy,Dove,1978,100g,96,Mfg_30,Supplier_J,2025-08-10,2024-03-11,2373
72,8900000000072,Rum - Tata 600g,Soap & Bath,Godrej,1111,500g,35,Mfg_31,Supplier_B,2025-08-11,2024-03-12,1333
73,8900000000073,Milk - Dabur 1kg,Ghee & Oils,Colgate,1763,50ml,126,Mfg_32,Supplier_C,2025-08-12,2024-03-13,2115
74,8900000000074,Juice - Nestlé 70g,Tea & Coffee,Horlicks,1846,5L,141,Mfg_33,Supplier_G,2025-08-13,2024-03-14,2215
75,8900000000075,Chocolate - Himalaya 150g,Health & Honey,Mondelēz,2306,50ml,55,Mfg_34,Supplier_G,2025-08-14,2024-03-15,2767
76,8900000000076,Milk - Godrej 100g,Hair Care,Budweiser,2104,200ml,33,Mfg_35,Supplier_D,2025-08-15,2024-03-16,2524
77,8900000000077,Tea - Himalaya 2L,Health & Honey,Bombay,1154,1L,44,Mfg_36,Supplier_E,2025-08-16,2024-03-17,1384
78,8900000000078,Whisky - Unilever 70g,Tea & Coffee,Colgate,2271,650ml,45,Mfg_37,Supplier_E,2025-08-17,2024-03-18,2725
79,8900000000079,Cereal - Coca-Cola 4 pack,Disinfectants,Bombay,2296,1kg,15,Mfg_38,Supplier_F,2025-08-18,2024-03-19,2755
80,8900000000080,Dal - Coca-Cola 70g,Instant Noodles,Saffola,1089,600g,155,Mfg_39,Supplier_I,2025-08-19,2024-03-20,1306
81,8900000000081,Rum - Amul 70g,Personal Care,Diageo,2407,250g,5,Mfg_0,Supplier_B,2025-08-20,2024-03-21,2888
82,8900000000082,Malt - Lakme 5kg,Ghee & Oils,Colgate,116,5L,50,Mfg_1,Supplier_E,2025-08-21,2024-03-22,139
83,8900000000083,Rusks - Bisleri 5kg,Laundry & Cleaning,Bombay,57,500g,105,Mfg_2,Supplier_C,2025-08-22,2024-03-23,68
84,8900000000084,Wheat Atta - Haldiram 10oz,Juices & Drinks,Bombay,346,250ml,153,Mfg_3,Supplier_D,2025-08-23,2024-03-24,415
85,8900000000085,Water - Kingfisher 100ml,Laundry & Cleaning,Parle,1059,25 Bags,94,Mfg_4,Supplier_J,2025-08-24,2024-03-25,1270
86,8900000000086,Candy - Amul 2L,Soft Drinks,Saffola,1290,750ml,114,Mfg_5,Supplier_F,2025-08-25,2024-03-26,1548
87,8900000000087,Cola - Britannia 100g,Tea & Coffee,Absolut,2065,137g,168,Mfg_6,Supplier_H,2025-08-26,2024-03-27,2478
88,8900000000088,Butter - Nestlé 500g,Ice Cream,Dabur,634,650ml,186,Mfg_7,Supplier_A,2025-08-27,2024-03-28,760
89,8900000000089,Rum - Dettol 50ml,Juices & Drinks,Dettol,1900,200ml,61,Mfg_8,Supplier_J,2025-08-28,2024-03-29,2280
90,8900000000090,Candy - Coca-Cola 2L,Breakfast Drinks,Lakme,1286,50ml,5,Mfg_9,Supplier_H,2025-08-29,2024-03-30,1543
